Date : 2025-02-10 17:46:09
Directory : d:\LanguageLearnig\C#\ChatServer
Total : 186 files,  27445 codes, 1738 comments, 1541 blanks, all 30724 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| SocketServer\bin\Debug\net6.0                                                                                                       |          1 |        604 |          0 |          0 |        604 |
| SocketServer\bin\Debug\net8.0                                                                                                       |          1 |        552 |          0 |          0 |        552 |
| SocketServer\obj                                                                                                                    |         13 |      1,643 |         24 |         16 |      1,683 |
| SocketServer\obj (Files)                                                                                                            |          5 |      1,579 |          0 |          0 |      1,579 |
| SocketServer\obj\Debug                                                                                                              |          8 |         64 |         24 |         16 |        104 |
| SocketServer\obj\Debug\net6.0                                                                                                       |          4 |         32 |         12 |          8 |         52 |
| SocketServer\obj\Debug\net8.0                                                                                                       |          4 |         32 |         12 |          8 |         52 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\LanguageLearnig\C#\ChatServer\.idea\.idea.ChatServer\.idea\encodings.xml                                                         | XML        |          4 |          0 |          0 |          4 |
| d:\LanguageLearnig\C#\ChatServer\.idea\.idea.ChatServer\.idea\indexLayout.xml                                                       | XML        |          8 |          0 |          0 |          8 |
| d:\LanguageLearnig\C#\ChatServer\.vs\ChatServer\config\applicationhost.config                                                       | XML        |        907 |         61 |         54 |      1,022 |
| d:\LanguageLearnig\C#\ChatServer\.vs\ChatServer\v17\DocumentLayout.json                                                             | JSON       |        658 |          0 |          0 |        658 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\ChannelExtensions.cs                                                             | C#         |         22 |          0 |          2 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\ChatServer.Common.csproj                                                         | XML        |         15 |          0 |          5 |         20 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Helper\ProtobufHelper.cs                                                         | C#         |         74 |         31 |         10 |        115 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatBaseProtocol.cs                                                     | C#         |        254 |          8 |         42 |        304 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatCommunicateProtocol.cs                                              | C#         |        308 |         10 |         44 |        362 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatLoginProtocol.cs                                                    | C#         |        559 |         25 |         79 |        663 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatRelationProtocol.cs                                                 | C#         |      1,265 |         47 |        143 |      1,455 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\Protobuf\ChatUserProtocol.cs                                                     | C#         |      1,678 |         60 |        198 |      1,936 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net6.0\ChatServer.Common.deps.json                                     | JSON       |         41 |          0 |          0 |         41 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net6.0\Common.deps.json                                                | JSON       |         41 |          0 |          0 |         41 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net6.0\Protobuf_Common.deps.json                                       | JSON       |         41 |          0 |          0 |         41 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\bin\Debug\net8.0\ChatServer.Common.deps.json                                     | JSON       |        232 |          0 |          0 |        232 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\CHCommon.csproj.nuget.dgspec.json                                            | JSON       |         93 |          0 |          0 |         93 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\CHCommon.csproj.nuget.g.props                                                | XML        |         16 |          0 |          0 |         16 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\CHCommon.csproj.nuget.g.targets                                              | XML        |          2 |          0 |          0 |          2 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.dgspec.json                                   | JSON       |         87 |          0 |          0 |         87 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.g.props                                       | XML        |         16 |          0 |          0 |         16 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.g.targets                                     | XML        |          2 |          0 |          0 |          2 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Common.csproj.nuget.dgspec.json                                              | JSON       |         93 |          0 |          0 |         93 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Common.csproj.nuget.g.props                                                  | XML        |         16 |          0 |          0 |         16 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Common.csproj.nuget.g.targets                                                | XML        |          2 |          0 |          0 |          2 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs                  | C#         |          3 |          1 |          1 |          5 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.AssemblyInfo.cs                                        | C#         |          9 |         10 |          5 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.GeneratedMSBuildEditorConfig.editorconfig              | Properties |         13 |          0 |          1 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.GlobalUsings.g.cs                                      | C#         |          7 |          1 |          1 |          9 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.AssemblyInfo.cs                               | C#         |          9 |         10 |          5 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig     | Properties |         13 |          0 |          1 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GlobalUsings.g.cs                             | C#         |          7 |          1 |          1 |          9 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.AssemblyInfo.cs                                          | C#         |          9 |         10 |          5 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.GeneratedMSBuildEditorConfig.editorconfig                | Properties |         13 |          0 |          1 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.GlobalUsings.g.cs                                        | C#         |          7 |          1 |          1 |          9 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.AssemblyInfo.cs                                 | C#         |          9 |         10 |          5 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GeneratedMSBuildEditorConfig.editorconfig       | Properties |         13 |          0 |          1 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GlobalUsings.g.cs                               | C#         |          7 |          1 |          1 |          9 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                  | C#         |          3 |          1 |          1 |          5 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.AssemblyInfo.cs                               | C#         |          9 |         10 |          5 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig     | Properties |         13 |          0 |          1 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GlobalUsings.g.cs                             | C#         |          7 |          1 |          1 |          9 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.dgspec.json                                     | JSON       |         93 |          0 |          0 |         93 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.props                                         | XML        |         16 |          0 |          0 |         16 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.targets                                       | XML        |          2 |          0 |          0 |          2 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\project.assets.json                                                          | JSON       |        552 |          0 |          0 |        552 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\project.packagespec.json                                                     | JSON       |          1 |          0 |          0 |          1 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\ChatServer.DataBase.csproj                                                     | XML        |         22 |          0 |          5 |         27 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\ChatServerDbContext.cs                                                | C#         |         16 |          9 |          6 |         31 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\ChatServerDbcontextFactory.cs                                         | C#         |         17 |          1 |          6 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataBaseExtension.cs                                                  | C#         |         29 |          3 |          4 |         36 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\ChatPrivate.cs                                             | C#         |         32 |          0 |          6 |         38 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\FriendRelation.cs                                          | C#         |         30 |          0 |          6 |         36 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\FriendRequest.cs                                           | C#         |         33 |          0 |          9 |         42 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\SacurityQuestion.cs                                        | C#         |         28 |          0 |          6 |         34 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\User.cs                                                    | C#         |         26 |          0 |         10 |         36 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\UserOnline.cs                                              | C#         |         26 |          2 |          6 |         34 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DbSettings.cs                                                         | C#         |         20 |          0 |          3 |         23 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\ChatPrivateRepository.cs                                   | C#         |         15 |          0 |          2 |         17 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\FriendRelationRepository.cs                                | C#         |         17 |          0 |          2 |         19 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\FriendRequestRepository.cs                                 | C#         |         17 |          0 |          2 |         19 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\SacurityQuestionRepository.cs                              | C#         |         14 |          0 |          2 |         16 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\UserOnlineRepository.cs                                    | C#         |         10 |          0 |          2 |         12 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\UserRepository.cs                                          | C#         |         12 |          0 |          2 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\IEnumerablePagedListExtensions.cs              | C#         |         11 |         24 |          4 |         39 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\IPagedList.cs                                  | C#         |         15 |         32 |          4 |         51 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\IQueryablePageListExtensions.cs                | C#         |         32 |         12 |          5 |         49 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\PagedList.cs                                   | C#         |         95 |        113 |         25 |        233 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IRepository.cs                                             | C#         |        122 |        326 |         47 |        495 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IRepositoryFactory.cs                                      | C#         |          7 |         19 |          3 |         29 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IUnitOfWork.cs                                             | C#         |         14 |         49 |          8 |         71 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IUnitOfWorkOfT.cs                                          | C#         |          9 |         14 |          4 |         27 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Repository.cs                                              | C#         |        606 |        317 |        114 |      1,037 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\UnitOfWork.cs                                              | C#         |        119 |         66 |         27 |        212 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\UnitOfWorkServiceCollectionExtensions.cs                   | C#         |         52 |         56 |         12 |        120 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataToProtoProfile.cs                                                          | C#         |         33 |          0 |          7 |         40 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250131110141_init_1.Designer.cs                                   | C#         |        237 |          2 |         80 |        319 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250131110141_init_1.cs                                            | C#         |        227 |          3 |         23 |        253 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\ChatServerDbContextModelSnapshot.cs                                 | C#         |        235 |          1 |         80 |        316 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\bin\Debug\net6.0\ChatServer.DataBase.deps.json                                 | JSON       |        582 |          0 |          0 |        582 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\bin\Debug\net8.0\ChatServer.DataBase.deps.json                                 | JSON       |      1,118 |          0 |          0 |      1,118 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\bin\Debug\net8.0\ChatServer.DataBase.runtimeconfig.json                        | JSON       |         13 |          0 |          0 |         13 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\ChatServer.DataBase.csproj.nuget.dgspec.json                               | JSON       |        188 |          0 |          0 |        188 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\ChatServer.DataBase.csproj.nuget.g.props                                   | XML        |         24 |          0 |          0 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\ChatServer.DataBase.csproj.nuget.g.targets                                 | XML        |          8 |          0 |          0 |          8 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs                | C#         |          3 |          1 |          1 |          5 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\ChatServer.DataBase.AssemblyInfo.cs                           | C#         |          9 |         10 |          5 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\ChatServer.DataBase.GeneratedMSBuildEditorConfig.editorconfig | Properties |         13 |          0 |          1 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\ChatServer.DataBase.GlobalUsings.g.cs                         | C#         |          7 |          1 |          1 |          9 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                | C#         |          3 |          1 |          1 |          5 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\ChatServer.DataBase.AssemblyInfo.cs                           | C#         |          9 |         10 |          5 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\ChatServer.DataBase.GeneratedMSBuildEditorConfig.editorconfig | Properties |         13 |          0 |          1 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\ChatServer.DataBase.GlobalUsings.g.cs                         | C#         |          7 |          1 |          1 |          9 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\project.assets.json                                                        | JSON       |      2,920 |          0 |          0 |      2,920 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\project.packagespec.json                                                   | JSON       |          1 |          0 |          0 |          1 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\App.cs                                                                             | C#         |         72 |          5 |         15 |         92 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\ChatServer.Main.csproj                                                             | XML        |         29 |          0 |          6 |         35 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\IOServer\Manager\ClientChannelManager.cs                                           | C#         |        103 |         22 |         20 |        145 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\IOServer\ServerHandler\ClientConnectHandler.cs                                     | C#         |         82 |          7 |         16 |        105 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\IOServer\ServerHandler\EchoServerHandler.cs                                        | C#         |         31 |          9 |          7 |         47 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\BusinessServer.cs                                                   | C#         |        135 |         47 |         27 |        209 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\IProcessor.cs                                                       | C#         |         14 |          0 |          2 |         16 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\FriendRequestProcessor.cs                                 | C#         |         85 |         17 |         17 |        119 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\FriendResponseProcessor.cs                                | C#         |        141 |         25 |         22 |        188 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\GetUserRequestProcessor.cs                                | C#         |         45 |          8 |          6 |         59 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\LoginRequestProcessor.cs                                  | C#         |         39 |          8 |          8 |         55 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\LogoutRequestProcessor.cs                                 | C#         |         24 |          7 |          6 |         37 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\OutlineMessageRequestProcessor.cs                         | C#         |         78 |         12 |         17 |        107 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\RegisteRequestProcessor.cs                                | C#         |         34 |         10 |          8 |         52 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\UpdateUserDataProcessor.cs                                | C#         |         34 |          7 |          5 |         46 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\ProtobufDispatcher.cs                                               | C#         |         76 |         16 |         15 |        107 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Server\CommunicateServer.cs                                         | C#         |         24 |          1 |          3 |         28 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Server\EntityServer.cs                                              | C#         |         21 |          0 |          3 |         24 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Server\LoginServer.cs                                               | C#         |         23 |          0 |          3 |         26 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\ServiceRegisteExtenstion.cs                                         | C#         |         39 |         16 |          7 |         62 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\Program.cs                                                                         | C#         |         14 |          0 |          0 |         14 |
| d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\ServerEntity\ClientChannel.cs                                                      | C#         |         29 |          0 |          7 |         36 |
